"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка, что при падении запроса авторизации (таймаут - 10 секунд) отображается браузерная ошибка, а не
пользовательская","0","ID 22 - Проверка получения браузерной ошибки при превышении таймаута авторизации","","Sun Aug 16 16:09:13 UTC 2026","skipped","Sun Aug 16 16:09:13 UTC 2026","","Тесты неуспешной авторизации","tests.auth.usecase.ErrorLoginTest","loginTimeoutExceeded_ShouldDisplayBrowserError"
"Тест проверяет работу формы авторизации на мобильном разрешении браузера","0","ID 19 - Проверка функциональности элементов страницы в мобильном разрешении","","Sun Aug 16 16:09:08 UTC 2026","skipped","Sun Aug 16 16:09:08 UTC 2026","","Тесты адаптивности для страницы авторизации","tests.auth.ui.LoginPageAdaptiveTest","mobileActions_PageShouldBeInteractive"
"Тест проверяет, что валидный пользователь авторизуется успешно в Google Chrome","1083","ID 25 - Успешная первая авторизация в Google Chrome","","Sun Aug 16 16:09:13 UTC 2026","passed","Sun Aug 16 16:09:14 UTC 2026","","Кросс-браузерные тесты авторизации (Хром/Яндекс)","tests.auth.usecase.CrossBrowserTest","checkGoogleChromeSuccessAuth"
"Проверка, что данные не сохраняются после обновления страницы авторизации, если они не сохранены в браузере","1075","ID 13 - Сброс данных формы после обновления страницы","","Sun Aug 16 16:09:09 UTC 2026","passed","Sun Aug 16 16:09:10 UTC 2026","","Тесты неуспешной авторизации","tests.auth.usecase.ErrorLoginTest","loginFieldsStateAfterRefresh_ShouldDisplayEmptyFields"
"Проверка, что заблокированный пользователь не сможет войти в систему и получит соответствующую ошибку","1027","ID 12 - Попытка авторизации заблокированного пользователя","","Sun Aug 16 16:09:08 UTC 2026","passed","Sun Aug 16 16:09:09 UTC 2026","","Тесты неуспешной авторизации","tests.auth.usecase.ErrorLoginTest","loginByBlockedUser_ShouldFailAuth"
"Тест проверяет отображение элементов страницы авторизации в мобильном разрешении","3362","ID 18 - Проверка отображения страницы авторизации в мобильном разрешении","","Sun Aug 16 16:09:03 UTC 2026","passed","Sun Aug 16 16:09:07 UTC 2026","","Тесты адаптивности для страницы авторизации","tests.auth.ui.LoginPageAdaptiveTest","mobileView_ElementsShouldDisplayCorrectly"
"Проверка, что в Google Chrome работают копирование и вставка в полях ввода","0","ID 26 - Копирование и вставка в Google Chrome","","Sun Aug 16 16:09:15 UTC 2026","skipped","Sun Aug 16 16:09:15 UTC 2026","","Кросс-браузерные тесты авторизации (Хром/Яндекс)","tests.auth.usecase.CrossBrowserTest","checkGoogleChromeCopyPaste"
"Проверка, что при повторном посещении сайта и потере соединения отображается страница авторизации,возможен вход в систему","5231","ID 17 - Проверка авторизации при потере соединения, если пользователь уже посещал сайт","","Sun Aug 16 16:09:17 UTC 2026","passed","Sun Aug 16 16:09:22 UTC 2026","","Тесты успешной авторизации","tests.auth.usecase.SuccessLoginTest","authWithoutConnection_FirstLoginWithCache_ShouldLoginCorrectly"
"Проверка, что при первом посещении сайта и потере соединения отображается ошибка браузера,а не кастомная","1087","ID 16 - Проверка получения ошибки при  потере соединения, если пользователь впервые на сайте","","Sun Aug 16 16:09:15 UTC 2026","passed","Sun Aug 16 16:09:16 UTC 2026","","Тесты успешной авторизации","tests.auth.usecase.SuccessLoginTest","authWithoutConnection_FirstLoginWithoutCache_ShouldLoginCorrectly"
"","0","ID 33 - Вход с пустыми логином и паролем должен показывать ошибку валидации логина","","Sun Aug 16 16:09:13 UTC 2026","skipped","Sun Aug 16 16:09:13 UTC 2026","","Тесты неуспешной авторизации","tests.auth.usecase.ErrorLoginTest","loginWithEmptyBothFields_ShouldShowUsernameRequiredError"
